Beat,Time,Line,Line with active holds,Limb annotation,Metadata,__time since prev downpress,__line repeats previous downpress line,__line repeats next downpress line,__time to next downpress,__num downpresses,__single hold ends immediately
5.4484,2.6842,`10002,`10002,lr,"{""ssc_file"": ""/home/maxwshen/PIU-Simfiles-rayden-61-122824/16 - PHOENIX/18238.7.1 - this game does not exist/this game does not exist.ssc"", ""pack"": ""PHOENIX"", ""VERSION"": ""0.81"", ""TITLE"": ""* this game does not exist *"", ""ARTIST"": ""litmus* x Ester"", ""GENRE"": ""WORLD MUSIC"", ""CREDIT"": ""DulKi"", ""BANNER"": ""this game does not exist_B.png"", ""BACKGROUND"": ""this game does not exist.png"", ""PREVIEWVID"": ""this game does not exist_P.mpg"", ""MUSIC"": ""this game does not exist.mp3"", ""OFFSET"": ""-0.040000"", ""SAMPLESTART"": ""94.208931"", ""SAMPLELENGTH"": ""10.000000"", ""SELECTABLE"": ""YES"", ""SONGTYPE"": ""ARCADE"", ""SONGCATEGORY"": ""WORLD MUSIC"", ""VOLUME"": ""100"", ""DISPLAYBPM"": ""40.000000:240.000000"", ""TIMESIGNATURES"": ""0.000000=4=4"", ""COMBOS"": ""0.000000=1"", ""LABELS"": ""0.000000=Song Start\n\n,1000.000000=SofiaXY"", ""FGCHANGES"": ""\n\n185.750=Flashsingles=1.000=0=0=1=====,\n\n185.750=Flashdoubles=1.000=0=0=1=====,"", ""LASTSECONDHINT"": ""123.648000"", ""STEPSTYPE"": ""pump-single"", ""DESCRIPTION"": ""S16"", ""DIFFICULTY"": ""Edit"", ""METER"": ""16"", ""CHARTSTYLE"": ""ACTIVE"", ""shortname"": ""*_this_game_does_not_exist_*_-_litmus*_x_Ester_S16_ARCADE"", ""Hold ticks"": [[2.6842, 2.8421, 1], [3.0, 3.1579, 2], [3.3158, 3.4737, 2], [3.6316, 3.7895, 2], [3.9474, 4.1053, 2], [4.2632, 4.4211, 2], [4.5789, 4.7368, 2], [4.8947, 5.0526, 2], [5.2105, 5.3684, 2], [5.5263, 5.6842, 2], [5.8421, 6.0, 2], [6.1579, 6.3158, 2], [6.4737, 6.6316, 2], [6.7895, 6.9474, 2], [7.1053, 7.2632, 2], [7.4211, 7.5789, 2], [12.1579, 12.7895, 2], [15.3158, 15.3158, 3], [17.8421, 17.8421, 3], [19.7368, 19.8421, 3], [20.0526, 20.1579, 3], [20.3684, 20.3684, 3], [22.2632, 22.5789, 1], [31.7368, 32.0526, 5], [33.0, 33.0789, 1], [35.5263, 35.6842, 3], [40.5789, 40.7368, 3], [42.0, 42.1579, 2], [42.1579, 42.3158, 3], [43.1053, 43.1842, 1], [45.6316, 45.7895, 3], [48.1579, 48.3158, 3], [49.4211, 49.5789, 3], [50.3684, 50.5263, 3], [50.6842, 50.8421, 3], [52.4211, 52.5789, 2], [52.5789, 52.7616, 5], [53.1536, 58.7786, 21], [59.5286, 59.5754, 2], [60.0911, 60.1379, 2], [60.6536, 60.7004, 2], [61.2161, 61.2629, 2], [61.7786, 61.8254, 2], [62.3411, 62.3879, 2], [62.7161, 62.7629, 2], [63.2786, 63.3254, 2], [63.6536, 64.8186, 29], [71.2143, 71.9969, 1], [72.2578, 73.0404, 7], [73.3013, 73.4317, 1], [73.6926, 73.823, 1], [74.0839, 74.2143, 1], [74.4752, 74.6056, 1], [75.3882, 75.5187, 1], [75.7795, 75.91, 1], [76.1708, 76.3013, 1], [76.5621, 76.6926, 1], [77.4752, 77.5404, 1], [77.7361, 77.8013, 1], [77.9969, 78.0621, 1], [78.2578, 78.323, 1], [78.7795, 78.8448, 1], [79.0404, 79.1056, 1], [79.3013, 79.3665, 1], [79.823, 79.8882, 1], [80.4752, 80.5404, 1], [81.1274, 81.1926, 1], [81.3882, 81.4534, 1], [81.6491, 81.7143, 1], [81.91, 81.9752, 1], [82.5621, 82.6274, 1], [82.9534, 83.0187, 1], [83.2143, 83.2795, 1], [83.4752, 83.5404, 1], [83.7361, 83.8013, 1], [83.9969, 84.0621, 1], [84.6491, 84.7143, 1], [85.3013, 85.4317, 3], [85.823, 85.8882, 1], [86.0839, 86.1491, 1], [86.3448, 86.41, 1], [86.6056, 86.6708, 1], [87.1274, 87.1926, 1], [87.3882, 87.4534, 1], [87.6491, 87.7143, 1], [88.1708, 88.2361, 1], [88.823, 88.8882, 1], [89.3448, 89.4752, 3], [89.9969, 90.0621, 1], [90.2578, 90.323, 1], [90.91, 91.0404, 2], [91.3013, 91.3665, 1], [91.5621, 91.6274, 1], [91.823, 91.8882, 1], [92.3448, 92.41, 1], [93.1274, 93.91, 13], [95.0839, 95.2143, 3], [97.1708, 97.3013, 3], [98.3448, 98.4752, 3], [99.2578, 99.3882, 3], [101.3448, 101.4752, 3], [102.2578, 102.3882, 3], [103.4317, 103.5621, 3], [105.3882, 105.4534, 2], [105.5187, 105.5839, 2], [106.1708, 106.3013, 4], [106.4317, 106.4969, 2], [106.5621, 106.6274, 2], [109.6926, 110.8176, 19], [111.8176, 111.9426, 3], [114.8176, 115.0676, 5], [115.8176, 115.9426, 3], [117.8176, 117.8801, 2], [117.9426, 118.0051, 2], [118.0676, 118.1301, 2], [118.1926, 118.2551, 2], [118.3176, 118.3801, 2], [118.4426, 118.5051, 2], [118.5676, 118.6301, 2], [118.6926, 118.8176, 2], [119.3176, 122.8176, 69]], ""Manual limb annotation"": false, ""sord_chartlevel"": ""S16"", ""eNPS annotations"": [[2.6842, ""3.2 nps\nQuarter notes\n190bpm""], [7.7368, ""3.2 nps\nQuarter notes\n190bpm""], [10.2632, ""6.3 nps\n8th notes\n190bpm""], [16.5789, ""6.3 nps\n8th notes\n190bpm""], [17.2105, ""9.5 nps\n16th notes\n142bpm""], [19.1053, ""6.3 nps\n8th notes\n190bpm""], [22.8947, ""3.2 nps\nQuarter notes\n190bpm""], [24.7895, ""6.3 nps\n8th notes\n190bpm""], [25.4211, ""3.2 nps\nQuarter notes\n190bpm""], [27.3158, ""6.3 nps\n8th notes\n190bpm""], [30.4737, ""3.2 nps\nQuarter notes\n190bpm""], [33.3158, ""6.3 nps\n8th notes\n190bpm""], [38.3684, ""6.3 nps\n8th notes\n190bpm""], [42.1579, ""3.2 nps\nQuarter notes\n190bpm""], [43.4211, ""6.3 nps\n8th notes\n190bpm""], [49.7368, ""6.3 nps\n8th notes\n190bpm""], [59.5286, ""1.8 nps\nQuarter notes\n107bpm""], [69.1274, ""3.8 nps\n8th notes\n115bpm""], [70.1708, ""7.7 nps\n12th notes\n153bpm""], [76.6926, ""3.8 nps\n8th notes\n115bpm""], [82.9534, ""3.8 nps\n8th notes\n115bpm""], [90.5187, ""7.7 nps\n12th notes\n153bpm""], [91.0404, ""3.8 nps\n8th notes\n115bpm""], [92.6056, ""7.7 nps\n12th notes\n153bpm""], [97.6926, ""7.7 nps\n12th notes\n153bpm""], [102.7795, ""7.7 nps\n12th notes\n153bpm""], [107.8665, ""7.7 nps\n12th notes\n153bpm""], [112.9426, ""8.0 nps\n12th notes\n160bpm""]], ""Segments"": [[2.684210789473685, 22.894738005263186, 0, 96], [22.894738005263186, 33.47368537368424, 96, 139], [33.47368537368424, 53.15355339975032, 139, 257], [53.15355339975032, 70.30127204060004, 257, 282], [70.30127204060004, 94.30127204059946, 282, 422], [94.30127204059946, 113.0675763884259, 422, 560], [113.0675763884259, 122.81757653842593, 560, 611]], ""Segment metadata"": [{""eNPS"": 3.7, ""level"": 9.97, ""rare skills"": [], ""Closest sections"": [], ""Skill badges"": [""jack"", ""twist_90"", ""run""]}, {""eNPS"": 4.0, ""level"": 7.71, ""rare skills"": [], ""Closest sections"": [], ""Skill badges"": [""jump"", ""doublestep""]}, {""eNPS"": 5.5, ""level"": 12.01, ""rare skills"": [], ""Closest sections"": [[""I_Want_U_-_MAX_S12_ARCADE"", 5], [""Moonlight_-_BanYa_S11_ARCADE"", 4], [""Doppelganger_-_MonstDeath_S16_ARCADE"", 1], [""HUSH_-_FULL_SONG_-_-_Yassi_Pressman__Nadine_Lustre_S15_FULLSONG"", 4], [""Tantanmen_-_Memme_S14_ARCADE"", 1]], ""Skill badges"": [""run"", ""twist_90"", ""twist_close""]}, {""eNPS"": 0.9, ""level"": 3.93, ""rare skills"": [], ""Closest sections"": [], ""Skill badges"": [""jack"", ""doublestep"", ""jump""]}, {""eNPS"": 4.2, ""level"": 10.83, ""rare skills"": [], ""Closest sections"": [], ""Skill badges"": [""jump"", ""doublestep""]}, {""eNPS"": 6.7, ""level"": 16.09, ""rare skills"": [], ""Closest sections"": [[""Discord_-_QWER_S16_ARCADE"", 6], [""Dignity_-_Crash_S15_ARCADE"", 6], [""Fire_Noodle_Challenge_-_Memme_S15_REMIX"", 8], [""Keep_On!_-_AmamoriP_S13_ARCADE"", 5], [""Dement_After_Legend_-_Lunatic_Sounds_S15_ARCADE"", 4]], ""Skill badges"": [""5-stair"", ""twist_90"", ""twist_close""]}, {""eNPS"": 4.0, ""level"": 14.61, ""rare skills"": [], ""Closest sections"": [[""Slapstick_Parfait_-_t+pazolite_S16_ARCADE"", 1], [""V3_-_BeautifulDay_S14_ARCADE"", 2], [""Sugar_Plum_-_Mr._Weq_S15_ARCADE"", 2], [""Forgotten_Vampire_-_WyvernP_S16_ARCADE"", 1], [""Appassionata_-_Cashew_x_D_AAN_x_Jehezukiel_S16_ARCADE"", 3]], ""Skill badges"": [""jack"", ""5-stair"", ""twist_close""]}], ""eNPS timeline data"": [0.0, 0.0, 0.33, 3.17, 3.17, 3.17, 3.17, 3.17, 3.17, 3.17, 5.28, 6.33, 3.17, 0.0, 2.92, 3.0, 1.9, 8.44, 0.0, 3.28, 4.0, 1.9, 3.17, 3.17, 3.62, 5.07, 3.17, 4.75, 4.22, 5.28, 4.22, 3.17, 2.11, 4.75, 6.33, 5.28, 6.33, 6.33, 5.28, 6.33, 4.0, 4.75, 4.22, 4.52, 6.33, 5.43, 6.33, 6.33, 5.43, 5.28, 5.07, 4.75, 4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.16, 1.78, 1.78, 2.13, 2.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.64, 6.71, 2.0, 0.96, 2.56, 4.79, 4.79, 4.79, 3.83, 3.83, 3.83, 4.79, 3.83, 3.83, 3.83, 4.38, 4.38, 3.83, 3.83, 4.38, 5.96, 5.48, 4.38, 5.11, 1.0, 3.83, 6.71, 7.67, 6.71, 6.71, 6.57, 7.67, 6.71, 6.57, 6.71, 6.71, 9.86, 7.67, 7.67, 7.67, 7.67, 0.0, 2.35, 5.33, 8.0, 8.0, 5.0, 5.33, 8.0, 4.57, 1.0, 0.0, 0.0, 0.0, 0.0], ""eNPS ranges of interest"": [[10, 13], [25, 32], [33, 53], [74, 78], [84, 87], [88, 93], [95, 110], [112, 119]], ""Similar charts"": {""14"": [""Elysium_-_Warak_S14_ARCADE"", ""Karyawisata_-_Vesuvia_x_Redshift_S14_ARCADE"", ""Nostalgia_-_Woody_S14_ARCADE""], ""15"": [""Chase_Me_-_Dreamcatcher_S15_ARCADE"", ""TRICKL4SH_220_-_Lite_Show_Magic_S15_ARCADE"", ""Mad5cience_-_Paul_Bazooka_S15_ARCADE""], ""16"": [""Twist_of_Fate_(feat._Ruriling)_-_Jehezukiel_S16_ARCADE"", ""Yo!_Say!!_Fairy!!!_-_MYUKKE._S16_ARCADE"", ""Discord_-_QWER_S16_ARCADE""], ""17"": [""MEGAHEARTZ_-_DJ_Noriken_S17_ARCADE"", ""STEP_-_SID-SOUND_S17_ARCADE"", ""Blazing_-_BanYa_S17_ARCADE""], ""18"": [""Allegro_Con_Fuoco_-_FULL_SONG_-_-_DM_Ashura_S18_FULLSONG"", ""Soldiers_(TANO*C_W_TEAM_RED_ANTHEM)_-_DJ_Noriken_S18_ARCADE"", ""HELIX_-_ESTi_S18_ARCADE""]}, ""chart_skill_summary"": [""5-stair"", ""jump"", ""doublestep""], ""nps_summary"": 7.7, ""notetype_bpm_summary"": ""16th notes @ 115 bpm""}",-1.0,False,False,0.31579999999999986,2,False
5.7642,2.8421,`00003,`00003,r,,0.1578999999999997,False,False,0.15790000000000015,0,False
6.08,3.0,`00200,`00200,l,,0.31579999999999986,False,False,0.31579999999999986,1,True
6.3958,3.1579,`00300,`00300,l,,0.15790000000000015,False,False,0.1578999999999997,0,False
6.7116,3.3158,`00002,`00002,r,,0.31579999999999986,False,False,0.3158000000000003,1,True
7.0274,3.4737,`00003,`00003,r,,0.15790000000000015,False,False,0.15790000000000015,0,False
7.3432,3.6316,`02000,`02000,l,,0.3158000000000003,False,False,0.31579999999999986,1,True
7.659,3.7895,`03000,`03000,l,,0.1578999999999997,False,False,0.15790000000000015,0,False
7.9748,3.9474,`00002,`00002,r,,0.31579999999999986,False,False,0.3158000000000003,1,True
8.2906,4.1053,`00003,`00003,r,,0.1578999999999997,False,False,0.1579000000000006,0,False
